"E3TimeStamp","PWM","comando_Quality","Output","nivel_Quality","Setpoint","setpoint_Quality"
2022-11-11 16:50:18.363,73,192,201,192,0,192
2022-11-11 16:50:19.333,1,192,188,192,0,192
2022-11-11 16:50:20.283,1,192,170,192,0,192
2022-11-11 16:50:21.269,1,192,157,192,0,192
2022-11-11 16:50:22.340,1,192,139,192,0,192
2022-11-11 16:50:23.341,1,192,118,192,0,192
2022-11-11 16:50:24.328,1,192,104,192,0,192
2022-11-11 16:50:25.276,1,192,93,192,0,192
2022-11-11 16:50:26.316,1,192,75,192,0,192
2022-11-11 16:50:27.280,1,192,63,192,0,192
2022-11-11 16:50:28.336,1,192,51,192,0,192
2022-11-11 16:50:29.284,1,192,39,192,0,192
2022-11-11 16:50:30.354,1,192,31,192,0,192
2022-11-11 16:50:31.272,2,192,26,192,0,192
2022-11-11 16:50:32.359,1,192,27,192,0,192
2022-11-11 16:50:33.292,1,192,27,192,0,192
2022-11-11 16:50:34.347,1,192,28,192,0,192
2022-11-11 16:50:35.365,1,192,26,192,0,192
2022-11-11 16:50:36.297,1,192,26,192,0,192
2022-11-11 16:50:37.268,1,192,25,192,0,192
2022-11-11 16:50:38.269,1,192,27,192,0,192
2022-11-11 16:50:39.371,1,192,25,192,0,192
2022-11-11 16:50:40.342,1,192,27,192,0,192
2022-11-11 16:50:41.305,1,192,26,192,0,192
2022-11-11 16:50:42.261,99,192,28,192,60,192
2022-11-11 16:50:43.347,100,192,31,192,60,192
2022-11-11 16:50:44.327,100,192,40,192,60,192
2022-11-11 16:50:45.298,86,192,58,192,60,192
2022-11-11 16:50:46.353,75,192,65,192,60,192
2022-11-11 16:50:47.302,23,192,73,192,60,192
2022-11-11 16:50:48.336,1,192,73,192,60,192
2022-11-11 16:50:49.290,11,192,61,192,60,192
2022-11-11 16:50:50.292,22,192,58,192,60,192
2022-11-11 16:50:51.341,22,192,61,192,60,192
2022-11-11 16:50:52.327,21,192,59,192,60,192
2022-11-11 16:50:53.313,15,192,62,192,60,192
2022-11-11 16:50:54.345,15,192,61,192,60,192
2022-11-11 16:50:55.331,16,192,61,192,60,192
2022-11-11 16:50:56.303,11,192,59,192,60,192
2022-11-11 16:50:57.273,13,192,59,192,60,192
2022-11-11 16:50:58.338,21,192,59,192,60,192
2022-11-11 16:50:59.339,18,192,61,192,60,192
2022-11-11 16:51:00.341,19,192,61,192,60,192
2022-11-11 16:51:01.296,22,192,61,192,60,192
2022-11-11 16:51:02.345,16,192,61,192,60,192
2022-11-11 16:51:03.331,21,192,59,192,60,192
2022-11-11 16:51:04.333,14,192,62,192,60,192
2022-11-11 16:51:05.304,20,192,61,192,60,192
2022-11-11 16:51:06.306,19,192,59,192,60,192
2022-11-11 16:51:07.355,100,192,64,192,140,192
2022-11-11 16:51:08.356,100,192,73,192,140,192
2022-11-11 16:51:09.312,100,192,82,192,140,192
2022-11-11 16:51:10.313,100,192,88,192,140,192
2022-11-11 16:51:11.299,100,192,98,192,140,192
2022-11-11 16:51:12.279,100,192,106,192,140,192
2022-11-11 16:51:13.334,97,192,112,192,140,192
2022-11-11 16:51:14.367,100,192,121,192,140,192
2022-11-11 16:51:15.322,100,192,123,192,140,192
2022-11-11 16:51:16.271,100,192,127,192,140,192
2022-11-11 16:51:17.264,97,192,136,192,140,192
2022-11-11 16:51:18.344,99,192,139,192,140,192
2022-11-11 16:51:19.327,90,192,143,192,140,192
2022-11-11 16:51:20.317,80,192,148,192,140,192
2022-11-11 16:51:21.281,57,192,151,192,140,192
2022-11-11 16:51:22.267,38,192,154,192,140,192
2022-11-11 16:51:23.370,24,192,149,192,140,192
2022-11-11 16:51:24.371,14,192,143,192,140,192
2022-11-11 16:51:25.342,16,192,137,192,140,192
2022-11-11 16:51:26.260,27,192,135,192,140,192
2022-11-11 16:51:27.309,44,192,134,192,140,192
2022-11-11 16:51:28.279,56,192,134,192,140,192
2022-11-11 16:51:29.365,65,192,135,192,140,192
2022-11-11 16:51:30.367,72,192,136,192,140,192
2022-11-11 16:51:31.300,71,192,139,192,140,192
2022-11-11 16:51:32.301,64,192,145,192,140,192
2022-11-11 16:51:33.303,52,192,146,192,140,192
2022-11-11 16:51:34.312,41,192,148,192,140,192
2022-11-11 16:51:35.260,33,192,145,192,140,192
2022-11-11 16:51:36.293,28,192,142,192,140,192
2022-11-11 16:51:37.294,25,192,141,192,140,192
2022-11-11 16:51:38.312,31,192,139,192,140,192
2022-11-11 16:51:39.298,36,192,135,192,140,192
2022-11-11 16:51:40.315,43,192,134,192,140,192
2022-11-11 16:51:41.302,53,192,134,192,140,192
2022-11-11 16:51:42.357,56,192,135,192,140,192
2022-11-11 16:51:43.358,61,192,139,192,140,192
2022-11-11 16:51:44.306,62,192,141,192,140,192
2022-11-11 16:51:45.276,61,192,143,192,140,192
2022-11-11 16:51:46.263,54,192,145,192,140,192
2022-11-11 16:51:47.327,42,192,147,192,140,192
2022-11-11 16:51:48.298,36,192,143,192,140,192
2022-11-11 16:51:49.262,31,192,142,192,140,192
2022-11-11 16:51:50.287,29,192,143,192,140,192
2022-11-11 16:51:51.321,31,192,140,192,140,192
2022-11-11 16:51:52.322,41,192,136,192,140,192
2022-11-11 16:51:53.278,47,192,137,192,140,192
2022-11-11 16:51:54.328,49,192,136,192,140,192
2022-11-11 16:51:55.330,58,192,136,192,140,192
2022-11-11 16:51:56.332,53,192,139,192,140,192
2022-11-11 16:51:57.318,49,192,143,192,140,192
2022-11-11 16:51:58.320,48,192,145,192,140,192
2022-11-11 16:51:59.306,46,192,142,192,140,192
2022-11-11 16:52:00.270,41,192,143,192,140,192
2022-11-11 16:52:01.272,39,192,143,192,140,192
2022-11-11 16:52:02.342,37,192,141,192,140,192
2022-11-11 16:52:03.260,37,192,141,192,140,192
2022-11-11 16:52:04.346,42,192,136,192,140,192
2022-11-11 16:52:05.332,45,192,135,192,140,192
2022-11-11 16:52:06.303,51,192,140,192,140,192
2022-11-11 16:52:07.305,50,192,141,192,140,192
2022-11-11 16:52:08.369,53,192,141,192,140,192
2022-11-11 16:52:09.341,52,192,139,192,140,192
2022-11-11 16:52:10.295,40,192,145,192,140,192
2022-11-11 16:52:11.274,39,192,146,192,140,192
2022-11-11 16:52:12.346,40,192,141,192,140,192
2022-11-11 16:52:13.346,36,192,142,192,140,192
2022-11-11 16:52:14.333,41,192,137,192,140,192
2022-11-11 16:52:15.282,39,192,139,192,140,192
2022-11-11 16:52:16.337,42,192,140,192,140,192
2022-11-11 16:52:17.271,47,192,137,192,140,192
2022-11-11 16:52:18.358,48,192,139,192,140,192
2022-11-11 16:52:19.360,50,192,140,192,140,192
2022-11-11 16:52:20.330,48,192,142,192,140,192
2022-11-11 16:52:21.279,51,192,140,192,140,192
2022-11-11 16:52:22.350,100,192,143,192,200,192
2022-11-11 16:52:23.298,100,192,145,192,200,192
2022-11-11 16:52:24.269,98,192,153,192,200,192
2022-11-11 16:52:25.302,100,192,157,192,200,192
2022-11-11 16:52:26.304,100,192,159,192,200,192
2022-11-11 16:52:27.359,100,192,167,192,200,192
2022-11-11 16:52:28.345,100,192,167,192,200,192
2022-11-11 16:52:29.309,100,192,175,192,200,192
2022-11-11 16:52:30.296,100,192,178,192,200,192
2022-11-11 16:52:31.282,100,192,182,192,200,192
2022-11-11 16:52:32.268,100,192,184,192,200,192
2022-11-11 16:52:33.270,95,192,191,192,200,192
2022-11-11 16:52:34.319,85,192,195,192,200,192
2022-11-11 16:52:35.290,90,192,200,192,200,192
2022-11-11 16:52:36.323,83,192,200,192,200,192
2022-11-11 16:52:37.293,79,192,203,192,200,192
2022-11-11 16:52:38.364,63,192,205,192,200,192
2022-11-11 16:52:39.297,40,192,205,192,200,192
2022-11-11 16:52:40.268,35,192,205,192,200,192
2022-11-11 16:52:41.348,26,192,201,192,200,192
2022-11-11 16:52:42.318,51,192,194,192,200,192
2022-11-11 16:52:43.351,67,192,194,192,200,192
