"E3TimeStamp","PWM","comando_Quality","Output","nivel_Quality","Setpoint","setpoint_Quality"
2022-11-11 16:45:39.354,1,192,56,192,0,192
2022-11-11 16:45:40.326,1,192,45,192,0,192
2022-11-11 16:45:41.296,1,192,33,192,0,192
2022-11-11 16:45:42.345,1,192,29,192,0,192
2022-11-11 16:45:43.347,1,192,27,192,0,192
2022-11-11 16:45:44.349,1,192,25,192,0,192
2022-11-11 16:45:45.304,1,192,25,192,0,192
2022-11-11 16:45:46.305,1,192,23,192,0,192
2022-11-11 16:45:47.339,1,192,25,192,0,192
2022-11-11 16:45:48.341,1,192,27,192,0,192
2022-11-11 16:45:49.343,1,192,27,192,0,192
2022-11-11 16:45:50.344,1,192,27,192,0,192
2022-11-11 16:45:51.330,1,192,28,192,0,192
2022-11-11 16:45:52.301,1,192,26,192,0,192
2022-11-11 16:45:53.334,4,192,25,192,0,192
2022-11-11 16:45:54.305,4,192,23,192,0,192
2022-11-11 16:45:55.306,1,192,25,192,0,192
2022-11-11 16:45:56.285,1,192,26,192,0,192
2022-11-11 16:45:57.357,1,192,26,192,0,192
2022-11-11 16:45:58.329,1,192,26,192,0,192
2022-11-11 16:45:59.262,1,192,25,192,0,192
2022-11-11 16:46:00.333,1,192,26,192,0,192
2022-11-11 16:46:01.297,1,192,25,192,0,192
2022-11-11 16:46:02.267,1,192,25,192,0,192
2022-11-11 16:46:03.354,1,192,27,192,0,192
2022-11-11 16:46:04.371,1,192,26,192,0,192
2022-11-11 16:46:05.273,100,192,28,192,60,192
2022-11-11 16:46:06.343,99,192,38,192,60,192
2022-11-11 16:46:07.344,97,192,47,192,60,192
2022-11-11 16:46:08.309,87,192,59,192,60,192
2022-11-11 16:46:09.295,57,192,69,192,60,192
2022-11-11 16:46:10.265,3,192,73,192,60,192
2022-11-11 16:46:11.366,2,192,69,192,60,192
2022-11-11 16:46:12.300,15,192,58,192,60,192
2022-11-11 16:46:13.302,25,192,58,192,60,192
2022-11-11 16:46:14.258,20,192,59,192,60,192
2022-11-11 16:46:15.323,22,192,61,192,60,192
2022-11-11 16:46:16.278,12,192,64,192,60,192
2022-11-11 16:46:17.264,12,192,61,192,60,192
2022-11-11 16:46:18.313,15,192,61,192,60,192
2022-11-11 16:46:19.283,20,192,59,192,60,192
2022-11-11 16:46:20.355,27,192,58,192,60,192
2022-11-11 16:46:21.334,24,192,58,192,60,192
2022-11-11 16:46:22.336,21,192,59,192,60,192
2022-11-11 16:46:23.307,17,192,62,192,60,192
2022-11-11 16:46:24.277,14,192,62,192,60,192
2022-11-11 16:46:25.326,16,192,61,192,60,192
2022-11-11 16:46:26.327,16,192,61,192,60,192
2022-11-11 16:46:27.282,17,192,61,192,60,192
2022-11-11 16:46:28.267,18,192,62,192,60,192
2022-11-11 16:46:29.348,1,192,56,192,0,192
2022-11-11 16:46:30.319,1,192,45,192,0,192
2022-11-11 16:46:31.274,1,192,33,192,0,192
2022-11-11 16:46:32.323,2,192,27,192,0,192
2022-11-11 16:46:33.278,1,192,27,192,0,192
2022-11-11 16:46:34.343,1,192,27,192,0,192
2022-11-11 16:46:35.313,1,192,27,192,0,192
2022-11-11 16:46:36.346,3,192,26,192,0,192
2022-11-11 16:46:37.286,4,192,26,192,0,192
2022-11-11 16:46:38.351,2,192,25,192,0,192
2022-11-11 16:46:39.321,1,192,25,192,0,192
2022-11-11 16:46:40.292,4,192,23,192,0,192
2022-11-11 16:46:41.356,1,192,25,192,0,192
2022-11-11 16:46:42.342,1,192,25,192,0,192
2022-11-11 16:46:43.277,1,192,26,192,0,192
2022-11-11 16:46:44.262,8,192,26,192,140,192
2022-11-11 16:46:45.333,100,192,28,192,140,192
2022-11-11 16:46:46.303,100,192,40,192,140,192
2022-11-11 16:46:47.305,100,192,58,192,140,192
2022-11-11 16:46:48.269,100,192,65,192,140,192
2022-11-11 16:46:49.325,100,192,77,192,140,192
2022-11-11 16:46:50.310,100,192,85,192,140,192
2022-11-11 16:46:51.274,100,192,97,192,140,192
2022-11-11 16:46:52.360,100,192,104,192,140,192
2022-11-11 16:46:53.362,98,192,113,192,140,192
2022-11-11 16:46:54.348,100,192,121,192,140,192
2022-11-11 16:46:55.281,100,192,127,192,140,192
2022-11-11 16:46:56.268,97,192,135,192,140,192
2022-11-11 16:46:57.339,95,192,139,192,140,192
2022-11-11 16:46:58.288,80,192,145,192,140,192
2022-11-11 16:46:59.289,68,192,148,192,140,192
2022-11-11 16:47:00.260,32,192,157,192,140,192
2022-11-11 16:47:01.331,18,192,152,192,140,192
2022-11-11 16:47:02.294,10,192,145,192,140,192
2022-11-11 16:47:03.280,19,192,136,192,140,192
2022-11-11 16:47:04.282,26,192,135,192,140,192
2022-11-11 16:47:05.353,44,192,131,192,140,192
2022-11-11 16:47:06.269,57,192,134,192,140,192
2022-11-11 16:47:07.286,71,192,136,192,140,192
2022-11-11 16:47:08.287,73,192,139,192,140,192
2022-11-11 16:47:09.319,73,192,140,192,140,192
2022-11-11 16:47:10.306,62,192,143,192,140,192
2022-11-11 16:47:11.260,54,192,146,192,140,192
2022-11-11 16:47:12.362,42,192,146,192,140,192
2022-11-11 16:47:13.326,31,192,145,192,140,192
2022-11-11 16:47:14.281,24,192,146,192,140,192
2022-11-11 16:47:15.283,26,192,141,192,140,192
2022-11-11 16:47:16.285,32,192,137,192,140,192
2022-11-11 16:47:17.288,34,192,137,192,140,192
2022-11-11 16:47:18.305,40,192,135,192,140,192
2022-11-11 16:47:19.260,54,192,134,192,140,192
2022-11-11 16:47:20.328,56,192,137,192,140,192
2022-11-11 16:47:21.311,59,192,140,192,140,192
2022-11-11 16:47:22.283,57,192,139,192,140,192
2022-11-11 16:47:23.348,59,192,142,192,140,192
2022-11-11 16:47:24.287,51,192,142,192,140,192
2022-11-11 16:47:25.337,41,192,146,192,140,192
2022-11-11 16:47:26.276,34,192,143,192,140,192
2022-11-11 16:47:27.295,33,192,140,192,140,192
2022-11-11 16:47:28.281,32,192,139,192,140,192
2022-11-11 16:47:29.361,34,192,140,192,140,192
2022-11-11 16:47:30.301,41,192,137,192,140,192
2022-11-11 16:47:31.286,49,192,137,192,140,192
2022-11-11 16:47:32.335,51,192,136,192,140,192
2022-11-11 16:47:33.290,53,192,139,192,140,192
2022-11-11 16:47:34.340,52,192,139,192,140,192
2022-11-11 16:47:35.326,52,192,140,192,140,192
2022-11-11 16:47:36.344,49,192,142,192,140,192
2022-11-11 16:47:37.330,46,192,145,192,140,192
2022-11-11 16:47:38.332,43,192,142,192,140,192
2022-11-11 16:47:39.302,41,192,143,192,140,192
2022-11-11 16:47:40.351,40,192,141,192,140,192
2022-11-11 16:47:41.337,39,192,140,192,140,192
