Setpoint;Output
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
29 ; 29 
35 ; 35 
35 ; 35 
36 ; 36 
36 ; 36 
37 ; 37 
38 ; 38 
42 ; 42 
40 ; 40 
43 ; 43 
41 ; 41 
43 ; 43 
43 ; 43 
45 ; 45 
43 ; 43 
45 ; 45 
47 ; 47 
47 ; 47 
48 ; 48 
47 ; 47 
49 ; 49 
47 ; 47 
47 ; 47 
48 ; 48 
48 ; 48 
47 ; 47 
46 ; 46 
49 ; 49 
46 ; 46 
46 ; 46 
46 ; 46 
45 ; 45 
47 ; 47 
43 ; 43 
45 ; 45 
47 ; 47 
46 ; 46 
43 ; 43 
45 ; 45 
43 ; 43 
45 ; 45 
42 ; 42 
45 ; 45 
43 ; 43 
45 ; 45 
42 ; 42 
41 ; 41 
45 ; 45 
40 ; 40 
40 ; 40 
40 ; 40 
41 ; 41 
42 ; 42 
41 ; 41 
38 ; 38 
37 ; 37 
38 ; 38 
39 ; 39 
36 ; 36 
37 ; 37 
35 ; 35 
36 ; 36 
34 ; 34 
35 ; 35 
32 ; 32 
32 ; 32 
31 ; 31 
32 ; 32 
30 ; 30 
32 ; 32 
30 ; 30 
31 ; 31 
30 ; 30 
30 ; 30 
31 ; 31 
31 ; 31 
